,Nasdaq Composite,,,,
Date,Open,High,Low,Close,Volume
"08,29,1997",1594.59998,1638.40002,1545.09998,1587.30005,
"07,31,1997",1442.59998,1595.69995,1432.40002,1593.80005,
"06,30,1997",1407,1458.84998,1340.80005,1442,
"05,30,1997",1263.90002,1414.19995,1260.69995,1400.30005,
"04,30,1997",1211.28003,1267.05005,1194.39001,1260.69995,
"03,31,1997",1306.20996,1332.33997,1220.72998,1221.71997,
"02,28,1997",1383.96997,1384.02002,1297.20996,1308.97998,
"01,31,1997",1292.65002,1400.30005,1272.52002,1379.83997,
"12,31,1996",1294.78003,1328.44995,1251.42004,1291.03003,
"11,29,1996",1223.71997,1293.73999,1218.34998,1292.60999,
"10,31,1996",,1269.62,1202.35999,1221.51001,
"09,30,1996",,1237.26001,1123.14001,1226.92004,
"08,30,1996",,1154.03003,1080.41003,1141.5,
"07,31,1996",,1199.97998,1008.44,1080.58997,
"06,28,1996",,1254.31995,1147.57996,1185.02002,
"05,31,1996",,1252.92004,1163.02002,1243.43005,
"04,30,1996",,1191.17004,1092.22998,1190.52002,
"03,29,1996",,1119.89001,1057.72998,1101.40002,
"02,29,1996",,1122.05005,1057.69995,1100.05005,
"01,31,1996",,1059.81006,977.78998,1059.79004,
"12,29,1995",,1075.14001,1001.37,1052.14001,
"11,30,1995",,1068.80005,1016.35999,1059.19995,
"10,31,1995",,1050.68994,956.97998,1036.06006,
"09,29,1995",,1070.46997,1008.38,1043.54004,
"08,31,1995",,1035.34998,970.59998,1020.10999,
"07,31,1995",,1011.90002,931.95001,1001.21002,
"06,30,1995",,941.47998,863.76001,933.45001,
"05,31,1995",,886.09998,839.26001,864.58002,
"04,28,1995",,844.45001,810.82001,843.97998,
"03,31,1995",,830.01001,790.22998,817.21002,
"02,28,1995",,796.23999,755.20001,793.72998,
"01,31,1995",,773.71002,740.53003,755.20001,
"12,30,1994",,752.21002,710.87,751.96002,
"11,30,1994",,777.52002,728.71997,750.32001,
"10,31,1994",,778.88,737.59003,777.48999,
"09,30,1994",,779.72998,752.34998,764.28998,
"08,31,1994",,767.66998,715.77002,765.62,
"07,29,1994",,726.06,699.37,722.15997,
"06,30,1994",,744.96997,690.84998,705.96002,
"05,31,1994",,742.5,703.78003,735.19,
"04,29,1994",,755.59998,703.15002,733.84003,
"03,31,1994",,804.53003,731.73999,743.46002,
"02,28,1994",,800.51001,767.07001,792.5,
"01,31,1994",,800.70001,768.34003,800.46997,
"12,31,1993",,777.02002,750.25,776.79999,
"11,30,1993",,786.26001,737.53003,754.39001,
"10,29,1993",,791.29999,758.78003,779.26001,
"09,30,1993",,766.66998,724.32001,762.78003,
"08,31,1993",,743.14001,704.70001,742.84003,
"07,30,1993",,714.12,694.48999,704.70001,
"06,30,1993",,706.64001,682.83002,703.95001,
"05,31,1993",,707.28998,661.23999,700.53003,
