,Constellation Brands Incorporated,,,,,
Date,Open,High,Low,Close,Volume,SIP
"11,30,2000",6.13,6.64,6.09,6.13,11675200,24.548
"10,31,2000",6.78,6.78,5.73,6.09,19907200,21.834
"09,29,2000",6.73,7.3,6.37,6.79,12130400,0
"08,31,2000",6.17,6.86,5.48,6.73,21729600,0
"07,31,2000",6.34,6.7,5.97,6.17,12481600,0
"06,30,2000",6.53,6.95,6.16,6.31,11499200,0
"05,31,2000",6.31,6.84,6.18,6.55,7329600,0
"04,28,2000",6.35,6.97,6.02,6.3,10776000,0
"03,31,2000",6.09,6.38,5.05,6.38,14721600,0
"02,29,2000",6.49,6.84,5.97,6.13,11690400,0
"01,31,2000",6.38,6.77,5.91,6.48,16203200,0
"12,31,1999",6.66,6.8,5.84,6.38,14888000,0
"11,30,1999",7.58,7.58,6.63,6.66,9308800,0
"10,29,1999",7.47,7.65,6.92,7.56,13858400,0
"09,30,1999",7.24,7.5,7.03,7.47,14946400,0
"08,31,1999",7.23,7.28,6.5,7.23,17801600,0
"07,30,1999",6.55,7.55,6.48,7.19,27612000,0
"06,30,1999",6.23,6.69,5.36,6.55,30147200,0
"05,31,1999",6.42,6.91,6.04,6.22,10167200,0
"04,30,1999",6.33,6.79,5.67,6.44,18406400,0
"03,31,1999",6.63,6.67,5.89,6.3,10792800,0
"02,26,1999",7.34,7.47,6.06,6.67,11767200,0
"01,29,1999",7.09,7.69,6.73,7.33,15225600,0
"12,31,1998",6.22,7.38,5.7,7.23,16115200,0
"11,30,1998",6.25,6.52,6.05,6.22,9095200,0
"10,30,1998",4.75,6.44,4.75,6.27,13190400,0
"09,30,1998",5.28,5.64,4.41,4.94,15983200,0
"08,31,1998",5.84,5.88,5.03,5.22,27488800,0
"07,31,1998",6.09,6.34,5.63,5.89,19473600,0
"06,30,1998",5.77,6.55,5.58,6.15,23180000,0
"05,29,1998",6.5,6.55,5.7,5.77,25360000,0
"04,30,1998",7.14,7.47,6.38,6.55,19184000,0
"03,31,1998",7,7.15,6.78,7.14,14049600,0
"02,27,1998",6.72,7.17,6.67,6.97,16080800,0
"01,30,1998",6.92,7.31,6.22,6.67,28187200,0
"12,31,1997",6.03,7.2,5.47,6.92,19284800,0
"11,28,1997",6.25,6.69,5.7,5.98,16912800,0
"10,31,1997",5.94,6.39,5.64,6.2,40276800,0
"09,30,1997",5.13,6,4.94,5.89,14784000,0
"08,29,1997",5.25,5.34,4.69,5.09,20852800,0
"07,31,1997",4.27,5.33,4.22,5.32,23984800,0
"06,30,1997",3.86,4.47,3.67,4.25,14728800,0
"05,30,1997",3.22,4.03,3.16,3.86,12854400,0
"04,30,1997",3.28,3.48,2.73,3.2,13805600,0
"03,31,1997",3.81,3.83,3.25,3.28,8496000,0
"02,28,1997",3.53,3.97,3.45,3.84,9210400,0
