,Northrop Grumman Corporation,,,,,
Date,Open,High,Low,Close,Volume,SIP
"12,31,2004",50.98,52.75,48.81,49.31,46463980,1.098
"11,30,2004",47.08,51.71,46.55,51.1,43757896,1.757
"10,29,2004",47.81,48.79,44.94,46.95,31976526,1.841
"09,30,2004",46.86,48.8,45.36,48.38,39602372,1.545
"08,31,2004",47.72,48.87,45.89,46.86,31708110,1.126
"07,30,2004",48.62,49.94,47.54,47.72,32100866,1.614
"06,30,2004",46.7,48.94,46.39,48.72,33199328,4.307
"05,31,2004",45.02,47.17,44.01,46.78,36858036,4.693
"04,30,2004",44.66,46.19,43.95,45.02,31565800,3.312
"03,31,2004",46.2,46.62,43.36,44.64,45780872,3.351
"02,27,2004",44.13,47.7,44.09,45.86,38041928,3.602
"01,30,2004",43.25,46.01,42.55,43.87,38545028,4.659
"12,31,2003",42.18,43.38,41.44,43.36,40110980,5.359
"11,28,2003",40.55,42.52,39.65,42.02,39594096,5.172
"10,31,2003",39.01,41.32,38.31,40.55,52663092,4.73
"09,30,2003",43.41,43.82,37.65,39.11,54595900,4.457
"08,29,2003",41.96,44.15,40.68,43.31,41811860,5.26
"07,31,2003",39.14,42.46,37.44,41.84,60220816,5.574
"06,30,2003",39.96,40.51,37.61,39.14,59940388,5.38
"05,30,2003",39.89,42,38.99,39.78,61284996,4.874
"04,30,2003",39.03,41.23,36.16,39.89,67935072,5.465
"03,31,2003",39.52,40.03,35.5,38.92,93855008,5.54
"02,28,2003",41.47,42.57,39.03,39.33,54830696,5.991
"01,31,2003",44,45.86,39.92,41.46,68272600,5.137
"12,31,2002",44.18,45.06,41,44,75489488,6.189
"11,29,2002",46.78,46.78,39.55,43.96,118939168,15.75
"10,31,2002",56.93,56.93,43.95,46.78,126101824,24.564
"09,30,2002",55.45,58.89,53.48,56.26,59610352,19.364
"08,30,2002",50.1,56.63,46.82,55.7,84686360,21.264
"07,31,2002",55.34,56.4,42.32,50.21,131614520,21.713
"06,28,2002",55.02,61.23,52.66,56.7,64227308,14.666
"05,31,2002",54.88,57.22,53.75,55.02,51776608,11.669
"04,30,2002",51.82,55.38,50.48,54.73,65617332,11.468
"03,29,2002",48.99,51.63,46.49,51.28,57302976,11.692
"02,28,2002",49.89,53.93,47.54,48.55,91094800,8.86
"01,31,2002",45.45,50.67,43.32,50.63,52942640,10.52
"12,31,2001",42.66,45.9,42.27,45.73,41446772,13.121
"11,30,2001",45.31,45.47,40.14,42.58,104986456,13.772
"10,31,2001",46.04,50.15,43.77,45.34,91948000,17.133
"09,28,2001",37.31,47.4,36.87,45.81,43154484,12.057
"08,31,2001",36.44,38.37,34.97,37.19,21819754,6.088
"07,31,2001",36.2,37.03,34.65,36.39,19660310,4.597
"06,29,2001",40.26,41.21,34.65,36.33,29729778,4.929
"05,31,2001",41.28,42.64,38.74,40.26,34433376,4.929
"04,30,2001",39.46,44.03,38.65,40.94,40010448,6.126
"03,30,2001",42.43,44.95,37.51,39.46,36151672,7.82
"02,28,2001",39.2,43.87,38.56,42.61,24836140,3.767
"01,31,2001",37.76,41.05,35.89,39.32,39670276,4.668
"12,29,2000",38.47,39.12,33.57,37.65,27620378,4.051
"11,30,2000",38.04,39.12,34.64,38.24,16280818,2.343
"10,31,2000",41.39,42.58,35.78,38.1,26248212,1.953
"09,29,2000",35.38,42.3,35.24,41.22,18246916,3.679
"08,31,2000",32.4,36.29,32.18,35.3,20702002,3.457
"07,31,2000",29.94,33.31,29.2,32.23,17622120,4.326
"06,30,2000",34.76,36.91,29.51,30.05,28751138,3.54
"05,31,2000",32.26,36.71,32.03,34.76,22506718,0
"04,28,2000",24.01,33.62,23.22,32.15,23095358,0
"03,31,2000",20.5,25.23,19.33,24.01,20853900,0
"02,29,2000",23.02,24.55,20.24,20.55,14809442,0
"01,31,2000",24.64,25.12,20.52,22.79,12667415,0
"12,31,1999",25.34,26.53,21.32,24.52,20234618,0
"11,30,1999",24.92,26.73,22.96,24.85,13297280,0
"10,29,1999",28.72,28.72,23.9,24.89,17719124,0
"09,30,1999",32.8,33.08,27.02,28.83,12789552,0
"08,31,1999",32.6,34.08,30.79,32.89,7894151,0
"07,30,1999",30.19,34.44,29.97,32.72,13067777,0
"06,30,1999",30.62,31.27,28.63,30.08,11863162,0
"05,31,1999",29.4,33.51,29.31,30.65,17177004,0
"04,30,1999",27.16,30.96,26,29,13001197,0
"03,31,1999",28.15,30.22,26.71,27.16,14635276,0
"02,26,1999",26.76,30.62,26.71,28.26,16619892,0
"01,29,1999",33.54,34.3,25.68,25.85,22708002,0
"12,31,1998",36.8,37.11,31.04,33.17,19337992,0
"11,30,1998",36.09,38.1,35.61,36.85,11612715,0
"10,30,1998",32.89,36.71,31.64,36.17,19422208,0
"09,30,1998",28.63,33.28,26.9,33.11,27240960,0
"08,31,1998",36.74,36.74,28.15,28.75,17036348,0
"07,31,1998",46.38,49.27,36.29,36.74,26660258,0
"06,30,1998",48.53,49.33,44.08,46.78,12019692,0
"05,29,1998",47.94,50.23,47.8,48.62,10260169,0
"04,30,1998",48.62,49.84,47.26,47.94,16347619,0
"03,31,1998",62.88,62.91,46.61,48.73,44019588,0
"02,27,1998",56.47,63.05,56.39,63.05,10523844,0
